date,transition,asset,pre_cum_ret,post_cum_ret
2024-05-31,0 -> 1,铜,0.1863,-0.1098
2024-05-31,0 -> 1,原油,-0.0597,0.0246
2024-05-31,0 -> 1,煤炭,0.2195,-0.1491
2024-11-29,1 -> 0,黄金,0.0229,0.0152
2024-11-29,1 -> 0,白银,-0.006,-0.0016
2024-11-29,1 -> 0,铜,-0.1099,0.0651
2024-11-29,1 -> 0,原油,0.0426,0.0723
2024-11-29,1 -> 0,煤炭,-0.0842,-0.0845
2025-04-04,0 -> 1,黄金,0.0999,0.0845
2025-04-04,0 -> 1,白银,0.0817,-0.0348
2025-04-04,0 -> 1,铜,0.1953,-0.0475
2025-04-04,0 -> 1,原油,-0.0433,-0.1174
2025-04-04,0 -> 1,煤炭,-0.0978,-0.2173
2025-04-11,1 -> 0,黄金,0.059,0.0836
2025-04-11,1 -> 0,白银,-0.0812,0.1172
2025-04-11,1 -> 0,铜,-0.045,0.0716
2025-04-11,1 -> 0,原油,-0.123,-0.027
2025-04-11,1 -> 0,煤炭,-0.1322,-0.2747
2025-04-25,0 -> 1,黄金,0.1338,0.033
2025-04-25,0 -> 1,白银,-0.0261,0.1255
2025-04-25,0 -> 1,铜,0.0373,0.0099
2025-04-25,0 -> 1,原油,-0.0945,0.0814
2025-04-25,0 -> 1,煤炭,-0.1571,-0.1869
2025-07-04,1 -> 0,黄金,0.0137,0.0319
2025-07-04,1 -> 0,白银,0.1232,0.0532
2025-07-04,1 -> 0,铜,0.0904,-0.1291
2025-07-04,1 -> 0,原油,0.0984,-0.0006
2025-07-04,1 -> 0,煤炭,-0.0892,0.3711
